course,course_name,course_number,description,credit_hours
ACE 591,Independent Study,591,Individual research work under the supervision of an appropriate member of the faculty. Approved for both letter and S/U grading.  May be repeated to a maximum of 8 hours if topics vary.,0 TO 8 hours.
ACE 592,Special Topics,592,"Group instruction on a special topic under the direction of one or more members of the faculty. Approved for both letter and S/U grading. May be repeated in a semester to a maximum of 8 hours. May be repeated to a maximum of 24 total hours, if topics vary.",0 TO 8 hours.
ACE 599,Thesis Research,599,Individual research under supervision of members of the graduate teaching faculty in their respective fields. Approved for S/U grading only. May be repeated.,0 TO 16 hours.
ACES 199,Undergraduate Open Seminar,199,"Experimental course on a special topic in the College of Agricultural, Consumer and Environmental Sciences. Approved for Letter and S/U grading. May be repeated as topics vary.",1 TO 5 hours.
ACES 293,International Internship,293,Supervised learning experience designed for ACES students registering for an academic term abroad and/or for non-degree exchange students enrolling for an academic term at Illinois. The nature of the experience and the setting in which it takes place must be approved in advance by ACES faculty and by representative(s) of institutions/organizations/agencies that cooperate with the College of ACES in student exchange/study abroad programs. 0 to 3 undergraduate hours. Approved for both letter and S/U grading. May be repeated to a maximum of 10 hours.(Summer Session). Prerequisite: Written consent of ACES Study Abroad Office.,0 TO 5 hours.
ACES 295,Undergrad Research or Thesis,295,"Individual research, special problems, thesis, development and/or design work under the supervision of an appropriate member of the faculty. May be repeated. Independent Study courses are limited to 12 hours total applying to a degree in ACES. Students may register in more than one section per term. Prerequisite: GPA of 3.0 or above at the time the activity is arranged, and consent of instructor.",1 TO 4 hours.
ACES 298,International Experience,298,"International experience in agricultural, consumer and environmental sciences related areas involving foreign travel and study without enrollment in another institution. Experience must be planned and approved in advance through consultation with a College of Agricultural, Consumer and Environmental Sciences faculty member. Additional fees may apply. See Class Schedule. Approved for Letter and S/U grading. May be repeated to a maximum of 9 hours in separate semesters. Not open to students on probation. Prerequisite: Written consent of ACES Study Abroad Office.",1 TO 9 hours.
ACES 299,ACES Study Abroad,299,"Provides campus credit in the College of Agricultural, Consumer and Environmental Sciences for study at accredited foreign institutions. Final determination of credit granted is made upon the student's successful completion of work. Approved for Letter and S/U grading. May be repeated to a maximum of 36 hours within one calendar year. 0 to 8 undergraduate hours in Summer session. Prerequisite: Consent of major department, college, and Study Abroad Office.",0 TO 18 hours.
ADV 281,Advertising Research Methods,281,"Introduces students to the wide spectrum of qualitative and quantitative research techniques that are commonly used in the advertising industry. In addition to examining the principles, methods and techniques of advertising research, the course will address issues such as when research should and should not be conducted, analyzing data sets, forming meaningful research questions, figuring out how to answer the questions, and presenting the answers to these questions in a clear and compelling manner. Credit is not given for ADV 281 if credit for ADV 481 has been earned. Prerequisite: ADV 150, STAT 100 or equivalent.",3 hours.
ADV 310,Intro to Public Relations,310,"Introduces the student to the practice and profession of public relations. Course material covers topics such as the history of public relations, the role of law and ethics in public relations, and theories that guide public relations research and practice. The course will also introduce roles played by public relations practitioners within organizations, such as media relations, consumer relations, employee relations, community relations, and investor relations.",3 hours.
ADV 312,Advertising History,312,"In this course, you will develop a rich knowledge base of advertising and the advertising industry as it has evolved in the United States over the last two centuries. Included will be an analysis of the key events, forces, people and technology.",3 hours.
ADV 400,Special Problems,400,"Special projects, research, and independent reading in advertising for students capable of individual work under the guidance of a faculty adviser. 0 to 3 undergraduate hours. No graduate credit. May be repeated in the same or in multiple semesters, if topics vary. Prerequisite: Written research proposal and consent of department.",0 TO 3 hours.
ADV 409,Media Entrepreneurship,409,"Introduces students to the foundations of entrepreneurship and evolving business models for media. Students are introduced to the foundation and context of entrepreneurship. The course will cover the skills and practices necessary for new entrepreneurial ventures, as well as the processes of evaluating an idea, assessing the market, and implementing a new venture. Finally, students will examine business case studies for both successful and unsuccessful media start-ups. 3 undergraduate hours. No graduate credit. Prerequisite: Junior or senior standing in the College of Media.",3 hours.
ADV 460,Innovation in Advertising,460,"This course is intended to improve creative and critical thinking skill in advertising planning by understanding the core technology and perspective of digital and other innovative media in the context of integrated communication. This will allow students to understand how consumers perceive and process digital advertising messages; to research critical questions in digital consumer behavior; to learn how to utilize digital and non-digital media in the context of integrated communication; to apply knowledge of digital communication technology to the real-world advertising cases. 3 undergraduate hours. 3 graduate hours. Credit is not given for ADV 460 if credit for the Digital Advertising section of ADV 490 has been earned. Prerequisite: ADV 283, ADV 284.",3 hours.
ADV 495,Internship Seminar,495,"Seminar based on internship experience. Offered for College of Media students who complete an approved professional, industry related internship. 1 undergraduate hour. 1 graduate hour. Approved for S/U grading only. May be repeated in the same term to a maximum of 2 undergraduate hours or 2 graduate hours. May be repeated in subsequent terms to a maximum of 3 undergraduate hours or 3 graduate hours. Prerequisite: Consent of instructor.",0 TO 1 hours.
ADV 590,Special Topics in Advertising,590,May be repeated in the same or in multiple semesters if topics vary. Prerequisite: Consent of department.,1 TO 4 hours.
ADV 598,Professional Project,598,"This course serves as a capstone, requiring the student to demonstrate a mastery of knowledge in the primary areas of advertising. Approved for S/U grading only. May be repeated in separate terms to a maximum of 6 hours. Prerequisite: A grade of B or better in ADV 588.",6 hours.
ADV 599,Thesis Research,599,Approved for S/U grading only. May be repeated in separate terms. Prerequisite: ADV 588 and consent of the department.,0 TO 6 hours.
AE 199,Undergraduate Open Seminar,199,Undergraduate Open Seminar. Approved for Letter and S/U grading. May be repeated.,0 TO 5 hours.
AE 395,Honors Project,395,Special aerospace engineering project or reading course for James Scholars in engineering. Prerequisite: Consent of instructor.,1 TO 4 hours.
AE 397,Independent Study,397,Independent theoretical and experimental projects in aerospace engineering. May be repeated. Prerequisite: Consent of instructor.,1 TO 3 hours.
AE 402,Orbital Mechanics,402,"Analysis of orbits in an inverse-square gravitational field; elementary rocket dynamics, impulsive orbit transfer and rendezvous, and Lambert's Theorem with applications; patched-conic trajectories, planetary gravity-assist maneuvers, and linearized orbit theory with application to simplified analytical models; perturbations. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: AE 202.",3 OR 4 hours.
AE 420,Finite Element Analysis,420,"The finite element method and its application to engineering problems: truss and frame structures, heat conduction, and linear elasticity; use of application software; overview of advanced topics such as structural dynamics, fluid flow, and nonlinear structural analysis. Same as ME 471 and CSE 451. 3 or 4 undergraduate hours. 3 or 4 graduate hours. Credit is not given for both ME 471 and CEE 470. Prerequisite: CS 101 and ME 371 or TAM 470. Alternatively, AE 370 for AE students.",3 OR 4 hours.
AE 497,Independent Study,497,Independent theoretical and experimental projects in aerospace engineering. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated. Prerequisite: Consent of instructor.,1 TO 4 hours.
AE 550,Nonlinear Aeroelasticity,550,"Integrated fundamental treatment of the physical and mathematical aspects of nonlinear aeroelasticity. Fluid-solid interactions of unsteady aerodynamics and flexible structures and their components with applications to air-space-land vehicles, wind mills, solar sails, and gossamer structures. Physical and mathematical modeling; solution protocols to nonlinear problems; self-excited nonlinear oscillators; torsional divergence, loss of stability and control due to structural flexibility; chordwise and un-symmetric bending; viscous and structural damping, motion control; straight and swept-wind flutter; stall divergence and flutter; panel flutter; aerodynamic noise; chaotic motion; gust loads; limit cycles. Prerequisite: AE 451.",4 hours.
AE 597,Independent Study,597,Independent theoretical and experimental projects in aerospace engineering. May be repeated. Prerequisite: Consent of instructor.,1 TO 4 hours.
AE 599,Thesis Research,599,Research in the various areas of aerospace engineering. Approved for S/U grading only. May be repeated.,0 TO 16 hours.
AFAS 341,Nat Sec Afrs/Prep Actv Duty I,341,"""National Security Affairs/Preparation for Active Duty"" is designed for college seniors and gives them the foundation to understand their role as military officers in American society. It is an overview of the complex social and political issues facing the military profession and requires a measure of sophistication commensurate with the senior college level. Requires concurrent enrollment with AFAS 102. Prerequisite: AFAS 332 or consent of instructor.",3 hours.
AFRO 100,Intro to African American St,100,"Interdisciplinary introduction to the basic concepts and literature in the disciplines covered by African American studies; surveys the major approaches to the study of African Americans across several academic disciplines including economics, education, psychology, literature, political science, sociology and others.",3 hours.
AFRO 201,US Racial & Ethnic Politics,201,"Examines efforts by racial and ethnic communities to organize politically and by society to allocate resources based on race or ethnicity. Topical focus includes African Americans, Latinos, Asian Americans, Native Americans, and white ethnics. The primary goal of the course is to develop a more comprehensive understanding of racial and ethnic politics by identifying commonalities and differences among these groups and their relationship to the state. Same as AAS 201, PS 201, and LLS 201.",3 hours.
AFRO 398,Spec Topics Afro-Am Studies,398,"Advanced seminar on selected topics with particular emphasis on current research trends. May be repeated to a maximum of 6 hours. Prerequisite: Junior status and one of the following: AFRO 224, or HIST 275 or HIST 276, or ENGL 259 or ENGL 260.",3 hours.
AFST 199,Undergraduate Open Seminar,199,May be repeated.,1 TO 5 hours.
AFST 222,Introduction to Modern Africa,222,"Interdisciplinary introduction to Africa dealing with basic themes and problems in the politics, economics, sociology, anthropology, and history of Africa. Same as ANTH 222, PS 242, and SOC 222.",3 hours.
AFST 231,Elementary Swahili I,231,"Beginning standard Swahili; emphasizes grammar, pronunciation, reading and conversation in standard Swahili. Same as SWAH 201. Participation in language laboratory required.",5 hours.
AFST 232,Elementary Swahili II,232,"Continuation of elementary Swahili, with introduction of more advanced grammar; emphasizes more fluency in speaking, reading, and writing simple sentences in standard Swahili. Same as SWAH 202. Participation in language laboratory required. Prerequisite: SWAH 201.",5 hours.
AFST 433,Intermediate Swahili I,433,Second-year Swahili with emphasis on developing conversational fluency; some readings on Swahili culture and customs. Same as SWAH 403. 4 undergraduate hours. 4 graduate hours. Prerequisite: One year of Swahili.,4 hours.
AFST 434,Intermediate Swahili II,434,"Continuation of SWAH 403; emphasis on the development of appropriate reading, writing, speaking, and comprehension skills in Standard Swahili, and understanding of East African culture. Same as SWAH 404. 4 undergraduate hours. 4 graduate hours. Prerequisite: SWAH 403 or equivalent.",4 hours.
AFST 490,Independent Study,490,"Supervised readings and research in selected fields in consultation with the instructor. 1 to 3 undergraduate hours. 1 to 4 graduate hours. May be repeated in separate terms up to 9 undergraduate hours or 12 graduate hours, if topics vary. Prerequisite: Consent of the Center for African Studies.",1 TO 4 hours.
AFST 550,Special Topics,550,Topics vary with the disciplinary focus. May be repeated to a maximum of 12 hours. Prerequisite: Consent of instructor.,2 OR 4 hours.
AFST 599,Thesis Research,599,Individual direction in research and guidance in writing theses for advanced degrees. Approved for S/U grading only. May be repeated to a maximum of 8 hours.,0 TO 8 hours.
AGED 293,Ag Leadership Internship,293,Supervised off-campus experience in a field directly pertaining to subject matter in agricultural leadership education. Approved for S/U grading only. May be repeated in the same or subsequent terms to a maximum of 12 hours.,1 TO 6 hours.
AGED 295,Independent Study or Research,295,"Individual research, special problems, thesis, development and/or design work under the supervision of an appropriate member of the faculty. May be repeated in the same or subsequent terms.",1 TO 4 hours.
AGED 396,Honors Research or Thesis,396,"Individual research, special problems, thesis, development and/or design work under the direction of the Honors advisor. May be repeated in the same or subsequent terms. Prerequisite: Junior standing, admission to the ACES Honors Program.",1 TO 4 hours.
AGED 498,Second Year Agriculture Teacher Seminar,498,"This course is intended for high school agriculture teachers who are entering their second or third year as an educator. The majority of the two-day face-to-face course (16 contact hours) will occur at an off-campus location in mid-July. The purpose of the course is to provide teachers with an opportunity to reflect on successes and challenges from the previous year, address concerns and/or areas of improvement, and provide teachers with a framework to support their efforts in the upcoming year. Assignments include: strategic planning for officer teams, community involvement, and classroom/shop management, in addition to revising existing curriculum and/or developing new curriculum. No undergraduate credit. 1.00 graduate hours. N/A Prerequisite: Restricted to students who have completed an undergraduate degree and have accepted a position teaching agriculture in a secondary school in the state of Illinois.",1 hours.
AHS 292,AHS Study Abroad,292,Provides credit toward the undergraduate degree for study at an accredited international institution or approved overseas program. Final determination of credit granted is made upon the student' s successful completion of work. Approved for letter and S/U grading. May be repeated to a maximum of 44 hours. Prerequisite: One year or residence at UIUC and consent of major department and the college.,0 TO 18 hours.
AHS 399,Advanced Open Seminar,399,Advanced undergraduate seminar. Topics will vary each semester. Please see section topic. Approved for letter and S/U grading. May be repeated in the same or subsequent terms to a maximum of 6 hours.,1 TO 6 hours.
ALEC 549,Independent Study,549,"Individual investigation and reporting of research on any phase of agricultural leadership, education or communications selected by the student and approved by the advisor and faculty member who will supervise the study. 1 to 4 graduate hours. No professional credit. May be repeated in the same or subsequent terms to a maximum of 8 hours.",1 TO 4 hours.
ANSC 199,Undergraduate Open Seminar,199,"An experimental course on a special topic in animal sciences. May be repeated, if topics vary.",1 TO 5 hours.
ANSC 205,World Animal Resources,205,"Examination of the world's animals, domesticated and wild, and their uses in various climatic, economic and cultural contexts. Exploration of their contemporary management and their future prospects. Provides background for international experiences, such as ACES 298 and ACES 299. Prerequisite: Completion of the campus Composition I general education requirement.",3 hours.
ANSC 250,Companion Animals in Society,250,"Explores the current and historical functions and influences of companion animals in American society. Topics include the evolution of animal protection, the use of assistance and service animals, and the growth of the pet supply industry. Controversial issues which are of current concern to society will also be examined.",3 hours.
ANSC 398,UG Experiential Learning,398,"Student-directed experiential learning on special topics directly pertaining to subject matter in animal sciences. Students are required to complete a Memorandum of Agreement prior to enrolling in this course. Additional fees may apply. See Class Schedule. Approved for Letter and S/U grading. May be repeated up to 5 hours per semester, up to a maximum of 12 total hours. Independent Study courses are limited to 12 hours total applying to a degree in ACES.",1 TO 5 hours.
ANSC 499,Seminar,499,Group discussion or an experimental course on a special topic in animal sciences. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated if topics vary.,1 TO 4 hours.
ANSC 542,Applied Bioinformatics,542,"Introduction to theoretical and applied aspects of bioinformatics. Topics include genomic and proteomic databases, sequence alignment and search algorithms (e.g., BLAST, FASTA, CLUSTAL W), predictive methods in DNA sequence, machine-learning techniques (e.g., Hidden Markov Models) and data mining, biomolecular structure and its prediction, molecular evolution and phylogenetic reconstruction, structural genomics and phylogenomics. Concepts are complemented with hands-on experience with computational biology databases and bioinformatic tools. Same as CPSC 569 and IB 506. Prerequisite: Graduate level status or consent of instructor.",4 hours.
ANSC 593,Res Studies in Animal Sciences,593,Directed and supervised study of selected research topics in Animal Sciences. May be repeated to a maximum of 4 hours. Prerequisite: Consent of instructor.,1 TO 4 hours.
ANSC 599,Thesis Research,599,Approved for S/U grading only. May be repeated.,0 TO 16 hours.
ANTH 103,Anthro in a Changing World,103,"Presents the fundamental areas of anthropological analysis through a series of comparative cases that emphasize social and cultural relations in global contexts. Directs attention to the anthropological history of global empires and colonial states, their cultural exchanges, and contemporary studies of culture, society, and globalization.",3 hours.
ANTH 143,Biology of Human Behavior,143,"Critical consideration of data and information bearing on current controversies and ideas concerning selected aspects of human behavior. Topics to be discussed include communication; social organization; and parental, sexual, and aggressive behavior. Same as HDFS 143.",3 hours.
ANTH 180,The Archaeology of Death,180,"Cross-cultural introduction to the celebration of death across time and space. Examines the anthropological and archaeological literature on death, particularly in terms of death ritual and burial practices. Students study popular films on death in different cultures.",3 hours.
ANTH 199,Undergraduate Open Seminar,199,May be repeated.,1 TO 5 hours.
ANTH 222,Introduction to Modern Africa,222,"Interdisciplinary introduction to Africa dealing with basic themes and problems in the politics, economics, sociology, anthropology, and history of Africa. Same as AFST 222, PS 242, and SOC 222.",3 hours.
ANTH 246,Forensic Science,246,"History and theory underlying methods used in forensic science. Topics include the courtroom, the units of a crime laboratory, methods of securing and investigating a crime scene, and the analysis of evidence collected from a crime scene such as blood, fibers, hair and fingerprints.",4 hours.
ANTH 390,Individual Study,390,"Supervised reading and research on anthropological topics chosen by the student with staff approval. Especially (but not exclusively) for students who are preparing for a summer field-work project, or who have some justifiable reason for doing independent study, but who do not qualify for the honors (departmental distinction) courses. Prerequisite: Junior or senior standing; 12 hours in anthropology; consent of instructor. May not be taken concurrently with ANTH 391 or ANTH 495.",2 TO 4 hours.
ANTH 399,Special Topics,399,"Topics are given on a one-time only, experimental basis. Faculty offer special topics in their areas of expertise that provide an opportunity for undergraduates to be exposed to some of the most current developments in faculty research. May be repeated.",1 to 3 hours.
ANTH 444,Methods in Bioanthropology,444,"Supervised participation in biological anthropology research projects; techniques, methods, and procedures discussed and practiced under actual field or laboratory working conditions. Normally taken concurrently with ANTH 445. 3 undergraduate hours. 4 graduate hours. May be repeated if topics vary. Usually offered in the summer session only. Prerequisite: ANTH 240 or equivalent; consent of instructor.",3 OR 4 hours.
ANTH 445,Research in Bioanthropology,445,"Analysis, interpretation, evaluation, and organization of field and laboratory data in biological anthropology; preparation of written reports on research. May be taken concurrently with ANTH 444 or subsequently. 3 undergraduate hours. 4 graduate hours. May be repeated if topics vary. Usually offered in the summer session only. Prerequisite: ANTH 240 or equivalent; consent of instructor.",3 OR 4 hours.
ANTH 454,Archaeological Field School,454,"Participation in archaeological excavations; techniques, methods, and procedures discussed and practiced under actual working conditions. Normally taken concurrently with ANTH 455. 3 undergraduate hours. 4 graduate hours. May be repeated if topics vary. Usually offered in the summer session only. Prerequisite: Consent of instructor.",3 OR 4 hours.
ANTH 455,Lab Analysis in Archaeology,455,"Laboratory work including processing, classifying, dating, interpretation, evaluation, and preparation of written reports of archaeological research. May be taken concurrently with ANTH 454 or subsequently. Additional fees may apply. See Class Schedule. 3 undergraduate hours. 4 graduate hours. May be repeated in separate semesters, if topics vary. Prerequisite: ANTH 102 or consent of instructor.",3 OR 4 hours.
ANTH 495,Honors Senior Thesis II,495,The second of a two-term individual study and research project for those students who are candidates for departmental distinction in anthropology. 2 to 4 undergraduate hours. No graduate credit. Prerequisite: Senior standing; 3.25 GPA in anthropology; and consent of instructor. May not be taken concurrently with ANTH 390.,2 TO 4 hours.
ANTH 496,Individual Field Research,496,"Supervised participation in field research in ethnography, ethnology, linguistics, or social anthropology; techniques, methods, and procedures discussed and practiced under actual working conditions. 3 undergraduate hours. 4 graduate hours. May be repeated if topics vary. Usually offered in the summer session only. Prerequisite: ANTH 230; some knowledge of the language of the area concerned; consent of instructor. Normally taken concurrently with ANTH 497.",3 OR 4 hours.
ANTH 497,Individual Field Data Analysis,497,"Analysis, interpretation, evaluation, and organization of field data in cultural anthropology; preparation of written reports on research in ethnography, ethnology, linguistics, or social anthropology. May be taken concurrently with ANTH 496 or subsequently. 3 undergraduate hours. 4 graduate hours. May be repeated if topics vary. Prerequisite: ANTH 230; some knowledge of the language of the area concerned; consent of instructor.",3 OR 4 hours.
ANTH 589,Readings in Anthropology,589,"Individual guidance in intensive readings in the literature of one or more subdivisions of the field of anthropology, selected in consultation with the adviser in accordance with the needs and interest of the student. May be repeated in the same or separate semesters as topics vary. Prerequisite: One semester of graduate work in anthropology; consent of advisor.",2 OR 4 hours.
ANTH 590,Dissertation Readings,590,Supervised individual investigation or study of a topic not covered by regular courses. The topic selected by the student and the proposed plan of study are approved by the adviser and the staff member who supervises the work. Prerequisite: Consent of instructor.,4 TO 16 hours.
ANTH 599,Thesis Research,599,Preparation of theses. Approved for S/U grading only.,0 TO 16 hours.
ARAB 199,Undergraduate Open Seminar,199,May be repeated.,1 TO 5 hours.
ARAB 201,Elementary Standard Arabic I,201,Mastery of the Arabic alphabet and phonetics; elementary formal grammar and the development of reading and writing skills; and conversation in the formal noncolloquial style. Participation in the language laboratory is required.,5 hours.
ARAB 202,Elementary Standard Arabic II,202,Continuation of ARAB 201. Participation in the language laboratory is required. Prerequisite: ARAB 201,5 hours.
ARAB 403,Intermediate Stand Arabic I,403,Survey of more advanced grammar; emphasis on increasing conversational fluency in the formal noncolloquial style; and reading of prose texts reflecting aspects of Arabic culture. 4 undergraduate hours. 4 graduate hours. Prerequisite: ARAB 202.,4 hours.
ARAB 404,Intermediate Stand Arabic II,404,Continuation of ARAB 403. 4 undergraduate hours. 4 graduate hours. Prerequisite: ARAB 403.,4 hours.
ARAB 405,Advanced Standard Arabic I,405,"Practice to attain conversational fluency in the formal noncolloquial style; introduction to Arabic literature; and readings in social, political, and historic writings. 3 undergraduate hours. 3 graduate hours. Prerequisite: ARAB 404.",3 hours.
ARAB 406,Advanced Standard Arabic II,406,Continuation of ARAB 405. 3 undergraduate hours. 3 graduate hours. Prerequisite: ARAB 405.,3 hours.
ARAB 407,Topics Stand Arabic Lang&Lit I,407,"Selected readings from Modern Standard Arabic authors, with a focus on novels, plays, and basic poetry illustrative of Arab cultural issues and advanced level MSA grammar, as well as development of expository writing skills. 3 undergraduate hours. 3 graduate hours. Prerequisite: ARAB 406.",3 hours.
ARAB 408,Topics Stand Arabic LangLit II,408,"Continuation of ARAB 407 with increased emphasis on the reading and comprehension of literary texts exemplified in advanced level novels, plays, and poetry, as well as on advanced mastery of expository writing skills. 3 undergraduate hours. 3 graduate hours. Prerequisite: ARAB 407.",3 hours.
ARAB 490,Readings in Advanced Arabic,490,"Directed reading course intended to develop an advanced student's facility with the Arabic language through various readings (authors, genres, themes, or other topical studies) and is conducted entirely in the Arabic language. Topics may vary from term to term. 3 undergraduate hours. 4 graduate hours. May be repeated in separate terms up to 6 undergraduate hours or 8 graduate hours, if topics vary. Prerequisite: ARAB 410 or consent of instructor.",3 OR 4 hours.
ARCH 314,History of World Landscapes,314,Analysis of the development of landscape architecture as a result of environmental and cultural influences. Same as LA 314.,4 hours.
ARCH 400,Senior Honors in Architecture,400,"For candidates for honors in Architecture. Independent guided study and research in a selected area of architecture. 1 to 4 undergraduate hours. No graduate credit. May be repeated to a maximum of 6 hours with consent of Director of School. Prerequisite: Senior standing in architecture, a University grade-point average of 3.0 or, in special cases, consent of Director of School.",1 TO 4 hours.
ARCH 401,Independent Study,401,"Independent guided study and investigation in a selected area of architecture. 0 to 4 undergraduate hours. 0 to 4 graduate hours.  Approved for both letter and S/U grading. May be repeated. Prerequisite: Junior standing in architecture, written proposal approved by a sponsoring faculty member and the approval of the Director of the School.",0 TO 4 hours.
ARCH 475,Arch Design & Development,475,"Schematic design and development of a small-scale public building emphasizing the integration of the basic elements of building; materials, details, structure, technology, program, life safety, and universal design. 6 undergraduate hours. 6 graduate hours. Prerequisite: ARCH 374 or ARCH 472.",6 hours.
ARCH 491,Arch Professional Internship,491,"Full-time or part-time professionally supervised field experience in design intended to introduce students to the practice of architecture in a commercial firm or agency of government. Students work in the school-approved firm or agency of their choice. Written work reports and reflective experiential learning reports are required. 0 undergraduate hours. 0 graduate hours. Approved for S/U grading only. May be repeated in separate terms a maximum of 3 times.Prerequisite: Graduate standing or upper-level undergraduate standing, or consent of instructor. For students enrolled in the BSAS and M.Arch. programs of study only.",0 hours.
ARCH 510,History of World Landscapes,510,"Introduction to the landscape architectural heritage of the past in its social, environmental and historical context. Same as LA 513.",4 hours.
ARCH 572,Design: Behavior and Environment,572,"Design studio explorations responding to social, economic, political and behavioral dimensions of human existence and settlement. Projects investigate the experience of physical environments at the human scale and socially sustaining design strategies addressing diverse human needs. Field trips may be required. 6 graduate hours. No professional credit. May be repeated in separate terms to a maximum of 12 hours. Prerequisite: Graduate standing or consent of instructor.",6 hours.
ARCH 590,Directed Research,590,Nature and scope of projects to be determined by consultation between student and faculty advisor; open to architecture and landscape architecture majors as well as those from other disciplines who wish to engage in interdisciplinary work. Approved for both letter and S/U grading. May be repeated in the same term up to 12 hours and separate terms up to 18 hours; MARCH students are limited to 12 hours. Prerequisite: Consent of instructor.,0 TO 8 hours.
ARCH 594,Spec Prob Building Sci & Tech,594,"In-depth investigation of emerging issues and specific areas of research interest beyond what is covered in graduate courses of regular offering in the area of building science technology. Students, as individuals or in groups, are expected to propose a research plan and methods for a specific topic of research interest in consultation with the instructor, and execute it under the guidance of the instructor through consultation on a regular basis. May be repeated to a maximum of 12 hours. (Summer credit: 1 to 2 graduate hours). Prerequisite: Advanced graduate standing and consent of instructor.",0 TO 4 hours.
ARCH 597,Spec Prob Arch Design,597,"Individual investigation of building types and systems, aesthetic theories, design thesis programming and other problems in architectural design. May be repeated to a maximum of 16 hours. Prerequisite: Consent of instructor.",2 TO 4 hours.
ARCH 599,Thesis Research,599,Approved for S/U grading only. May be repeated to a maximum of 16 hours. Prerequisite: Consent of instructor and graduate program coordinator.,0 TO 16 hours.
ART 199,Undergraduate Open Seminar,199,Additional fees may apply. See Class Schedule. May be repeated.,1 TO 5 hours.
ARTD 209,Chado (The Way of Tea),209,Explores the Japanese Tea Ceremony and its relevance to everyday life.  Students will acquire a better understanding of Japanese culture and a new appreciation of their own cultures through the study of the Tea Ceremony and the Zen worldview that informs it. Additional fees may apply. See Class Schedule.,3 hours.
ARTD 391,Special Problems in Design,391,"Directed independent creative activity or research. Additional fees may apply. See Class Schedule. May be repeated to a maximum of 6 hours. Prerequisite: Junior standing in Art and Design; and consent of instructor, advisor, and associate director of the School. A contract must be completed & approved by the instructor & advisor. Must be Junior. 3.3 GPA, & only 6 hours total Ind. Study.",1 TO 4 hours.
ARTD 399,Internship in Design,399,Internships to be pre-approved for variable credit. Students will be required to document work completed during the internship with verification of supervisor. Supervisor will also be required to fill out a questionnaire either by mail or on-line. Faculty members will assess work and questionnaires to assign a grade. Approved for S/U grading only. May be repeated if topics vary to a maximum of 4 hours. Prerequisite: Junior standing in School of Art and Design.,1 TO 4 hours.
ARTD 490,Senior Honors,490,"Independent creative activity, guided study, or research for honors. 2 to 5 undergraduate hours. No graduate credit. May be repeated to a maximum of 5 hours. Prerequisite: Senior standing in Industrial Design, a cumulative grade point average of 3.0; and consent of instructor and department.",2 TO 5 hours.
ARTD 591,Special Problems in Design,591,"Directed individual creative activity or research. Additional fees may apply. See Class Schedule. 1 to 8 graduate hours. No professional credit. May be repeated if topics vary, in the same semester up to 10 hours; in separate semesters to a maximum of 20 hours. Prerequisite: Graduate standing in Design.",1 TO 8 hours.
ARTD 599,Industrial Design Thesis,599,Faculty guidance in research and writing thesis for advanced degree in Industrial Design. Additional fees may apply. See Class Schedule. Approved for S/U grading only. May be repeated. Prerequisite: Graduate study in Industrial Design.,0 TO 2 hours.
ARTE 391,Independent Study,391,"Directed independent research or creative activity. Additional fees may apply. See Class Schedule. May be repeated to a maximum of 6 hours. Prerequisite: Junior standing in art and design; and consent of instructor, advisor, and associate director of the School.",1 TO 4 hours.
ARTE 490,Senior Honors,490,"Independent guided research and study for honors. Additional fees may apply. See Class Schedule. 2 to 5 undergraduate hours. No graduate credit. May be repeated to a maximum of 5 hours. Prerequisite: Senior standing in art education, a cumulative grade point average of 3.0; and consent of instructor, advisor, and associate director of the School.",2 TO 5 hours.
ARTE 591,Independent Graduate Studies,591,Individual direction in research and in creative activity; thesis. Additional fees may apply. See Class Schedule.,1 TO 8 hours.
ARTE 599,Thesis Research,599,Guidance in research and writing theses for advanced degrees. Approved for S/U grading only. May be repeated. Prerequisite: Graduate standing in art education.,0 TO 16 hours.
ARTF 199,Undergraduate Open Seminar,199,Additional fees may apply. See Class Schedule.,1 TO 5 hours.
ARTH 391,Individual Art History Topics,391,"Directed independent research. May be repeated to a maximum of 6 hours. Prerequisite: Junior standing in art and design; and consent of instructor, advisor, and associate director of the School.",1 TO 4 hours.
ARTH 489,Senior Art-History Honors-BA,489,"Independent guided research and study in a selected area of art history for candidates for the Bachelor of Arts in Art History with departmental distinction. 2 to 5 undergraduate hours. No graduate credit. May be repeated to a maximum of 5 hours. (Counts for advanced hours in LAS). Prerequisite: Senior standing in the art history curriculum; a cumulative grade point average of 3.25; an art history grade point average of 3.5; and consent of instructor, department advisor, and associate director of the School.",2 TO 5 hours.
ARTH 490,Senior Art-History Honors-BFA,490,"Directed independent research and study for honors. 2 to 5 undergraduate hours. No graduate credit. May be repeated to a maximum of 5 hours. Prerequisite: Senior standing in Fine and Applied Arts art history, a cumulative grade point average of 3.0, and consent of instructor, advisor, and associate director of the School.",2 TO 5 hours.
ARTH 491,Topics in Art History,491,Variable content; consult the Class Schedule for current topics. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated if topics vary. Prerequisite: Junior standing or consent of instructor.,1 TO 4 hours.
